形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLHARAMI,bull,rsi_mid_oversold,0.5,37,14,23,37.8,30.9,0.92,N,1.79,0.098,1.43,62.2
CDLHARAMI,bull,rsi_mid_oversold,0.75,37,17,20,45.9,37.6,1.05,N,2.16,0.076,1.45,48.6
CDLHARAMI,bull,rsi_mid_oversold,1.0,37,17,20,45.9,44.1,0.22,N,0.92,-0.016,1.15,43.2
CDLHARAMI,bull,rsi_mid_oversold,1.25,37,18,19,48.6,44.8,0.47,N,1.13,-0.045,1.19,32.4
CDLHARAMI,bull,rsi_mid_oversold,1.5,37,18,19,48.6,48.9,-0.03,N,0.86,-0.068,1.14,24.3
CDLHARAMI,bull,rsi_mid_oversold,1.75,37,18,19,48.6,51.4,-0.33,N,0.45,-0.103,1.07,21.6
CDLHARAMI,bull,rsi_mid_oversold,2.0,37,18,19,48.6,48.6,0.0,N,0.39,-0.119,1.06,18.9
CDLHARAMI,bull,rsi_mid_oversold,2.25,37,18,19,48.6,47.1,0.19,N,0.14,-0.14,1.02,16.2
CDLHARAMI,bull,rsi_mid_oversold,2.5,37,18,19,48.6,46.6,0.25,N,-0.17,-0.167,0.98,13.5
CDLHARAMI,bull,rsi_mid_oversold,2.75,37,18,19,48.6,47.1,0.19,N,0.2,-0.151,1.03,8.1
CDLHARAMI,bull,rsi_mid_oversold,3.0,37,18,19,48.6,51.8,-0.38,N,0.09,-0.162,1.01,5.4
CDLHIGHWAVE,bear,rsi_mid_overbought,0.5,66,25,41,37.9,34.0,0.67,N,-0.22,0.004,0.95,57.6
CDLHIGHWAVE,bear,rsi_mid_overbought,0.75,66,33,33,50.0,44.6,0.89,N,1.3,0.068,1.27,37.9
CDLHIGHWAVE,bear,rsi_mid_overbought,1.0,66,35,31,53.0,50.0,0.49,N,0.96,0.042,1.19,27.3
CDLHIGHWAVE,bear,rsi_mid_overbought,1.25,66,36,30,54.5,48.1,1.05,N,0.52,0.02,1.09,22.7
CDLHIGHWAVE,bear,rsi_mid_overbought,1.5,66,36,30,54.5,53.3,0.21,N,0.75,0.026,1.14,13.6
CDLHIGHWAVE,bear,rsi_mid_overbought,1.75,66,36,30,54.5,50.8,0.62,N,0.85,0.038,1.16,7.6
CDLHIGHWAVE,bear,rsi_mid_overbought,2.0,66,36,30,54.5,51.3,0.53,N,0.58,0.021,1.1,6.1
CDLHIGHWAVE,bear,rsi_mid_overbought,2.25,66,36,30,54.5,53.5,0.16,N,0.51,0.014,1.09,4.5
CDLHIGHWAVE,bear,rsi_mid_overbought,2.5,66,36,30,54.5,49.7,0.78,N,0.52,0.017,1.09,3.0
CDLHIGHWAVE,bear,rsi_mid_overbought,2.75,66,36,30,54.5,53.2,0.23,N,0.87,0.032,1.16,1.5
CDLHIGHWAVE,bear,rsi_mid_overbought,3.0,66,36,30,54.5,51.0,0.57,N,0.83,0.028,1.15,1.5
CDLSHORTLINE,bear,none,0.5,501,184,317,36.7,36.9,-0.08,N,0.52,0.035,1.12,55.7
CDLSHORTLINE,bear,none,0.75,501,226,275,45.1,44.8,0.15,N,0.83,0.049,1.17,38.5
CDLSHORTLINE,bear,none,1.0,501,241,260,48.1,47.6,0.21,N,0.67,0.045,1.13,26.3
CDLSHORTLINE,bear,none,1.25,501,250,251,49.9,49.2,0.34,N,0.58,0.043,1.11,18.6
CDLSHORTLINE,bear,none,1.5,501,250,251,49.9,48.3,0.7,N,0.36,0.033,1.06,13.2
CDLSHORTLINE,bear,none,1.75,501,251,250,50.1,49.5,0.26,N,0.3,0.032,1.05,8.2
CDLSHORTLINE,bear,none,2.0,501,252,249,50.3,49.2,0.5,N,0.27,0.028,1.05,6.4
