形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLEVENINGSTAR,bear,none,1.5,11,54.5,0.71,N,0.51,-0.262,36.4,N
CDLLONGLINE,bull,none,1.75,326,50.3,0.71,N,1.12,0.061,8.9,N
CDLSPINNINGTOP,bull,rsi_oversold,2.0,29,55.2,0.68,N,1.24,0.089,6.9,N
CDLRICKSHAWMAN,bull,atr_low,1.5,129,48.8,0.65,N,1.04,-0.013,20.9,N
CDLXSIDEGAP3METHODS,bear,none,1.0,17,47.1,0.62,N,0.88,-0.028,35.3,N
CDLBELTHOLD,bear,rsi_mid_overbought,2.75,36,50.0,0.61,N,0.94,-0.045,5.6,N
CDLBELTHOLD,bull,atr_high,0.75,93,44.1,0.58,N,0.78,-0.077,39.8,N
CDLHANGINGMAN,bear,atr_low,0.5,16,37.5,0.54,N,1.08,0.065,62.5,N
CDLLONGLINE,bear,rsi_oversold,1.25,26,50.0,0.53,N,1.21,0.092,23.1,N
CDLSPINNINGTOP,bull,rsi_overbought,2.5,20,50.0,0.49,N,1.3,0.108,0.0,N
CDLXSIDEGAP3METHODS,bull,atr_low,1.0,12,50.0,0.49,N,0.94,-0.042,41.7,N
CDLDRAGONFLYDOJI,bull,trend_down,0.5,25,44.0,0.48,N,1.44,0.141,56.0,N
CDLHARAMI,bear,trend_up,2.75,57,49.1,0.47,N,0.86,-0.077,5.3,N
CDL3INSIDE,bull,atr_low,1.0,13,53.8,0.46,N,1.57,0.208,23.1,N
CDLGRAVESTONEDOJI,bear,trend_down,1.5,21,47.6,0.44,N,1.21,0.093,9.5,N
CDLTAKURI,bull,trend_down,2.75,25,52.0,0.43,N,1.41,0.16,0.0,N
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.5,66,50.0,0.41,N,0.86,-0.034,3.0,N
CDLRICKSHAWMAN,bull,rsi_overbought,2.5,14,50.0,0.4,N,2.01,0.323,0.0,N
CDLHARAMI,bear,atr_low,2.5,88,47.7,0.36,N,1.01,-0.029,8.0,N
CDLSHOOTINGSTAR,bear,atr_low,2.5,12,50.0,0.34,N,1.06,0.078,0.0,N
CDLLONGLINE,bear,trend_down,1.5,199,49.7,0.33,N,1.11,0.044,16.1,N
CDLBELTHOLD,bull,rsi_mid_oversold,0.5,49,38.8,0.32,N,0.86,-0.018,59.2,N
CDLINVERTEDHAMMER,bull,none,3.0,14,50.0,0.31,N,0.62,-0.163,7.1,N
CDLSHORTLINE,bull,trend_up,0.75,150,46.7,0.3,N,1.11,0.024,32.7,N
CDLDOJI,bull,atr_high,2.0,95,47.4,0.29,N,0.93,-0.02,5.3,N
CDLHIKKAKE,bull,rsi_oversold,1.25,12,50.0,0.29,N,0.48,-0.295,50.0,N
CDLHARAMI,bull,none,1.25,140,47.9,0.23,N,1.05,nan,24.3,N
CDLHARAMI,bull,trend_down,2.5,81,49.4,0.22,N,1.05,-0.012,7.4,N
CDLHARAMI,bull,atr_high,0.5,45,33.3,0.16,N,0.83,-0.038,60.0,N
CDLHIKKAKE,bear,atr_low,1.25,172,45.9,0.14,N,0.98,-0.022,24.4,N
CDLHIGHWAVE,bull,atr_low,1.5,167,46.7,0.13,N,0.99,0.004,20.4,N
CDLSHORTLINE,bull,rsi_overbought,1.25,17,41.2,0.12,N,0.68,-0.137,23.5,N
