形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLHIGHWAVE,bull,none,1.5,297,156,141,52.5,49.3,1.1,N,3.57,nan,1.39,14.5
CDLHIGHWAVE,bull,none,1.75,297,158,139,53.2,49.3,1.33,N,3.68,nan,1.4,10.4
CDLHIGHWAVE,bull,none,2.0,297,159,138,53.5,50.8,0.96,N,3.99,nan,1.45,6.4
CDLHIGHWAVE,bull,none,2.25,297,159,138,53.5,49.1,1.52,N,3.98,nan,1.45,4.4
CDLHIGHWAVE,bull,none,2.5,297,159,138,53.5,49.2,1.51,N,3.72,nan,1.41,4.4
CDLHIGHWAVE,bull,none,2.75,297,159,138,53.5,50.0,1.22,N,3.74,nan,1.41,2.7
CDLHIGHWAVE,bull,none,3.0,297,159,138,53.5,50.6,1.0,N,3.69,nan,1.4,2.4
CDLSHORTLINE,bull,rsi_mid_oversold,0.5,99,35,64,35.4,34.8,0.11,N,2.7,0.059,1.32,57.6
CDLSHORTLINE,bull,rsi_mid_oversold,0.75,99,48,51,48.5,43.3,1.05,N,3.44,0.135,1.36,38.4
CDLSHORTLINE,bull,rsi_mid_oversold,1.0,99,53,46,53.5,49.8,0.74,N,2.88,0.125,1.28,27.3
CDLSHORTLINE,bull,rsi_mid_oversold,1.25,99,54,45,54.5,51.5,0.6,N,2.27,0.094,1.2,22.2
CDLSHORTLINE,bull,rsi_mid_oversold,1.5,99,54,45,54.5,48.8,1.14,N,1.57,0.071,1.13,17.2
CDLSHORTLINE,bull,rsi_mid_oversold,1.75,99,54,45,54.5,49.0,1.11,N,0.83,0.048,1.07,14.1
CDLSHORTLINE,bull,rsi_mid_oversold,2.0,99,54,45,54.5,49.3,1.04,N,0.99,0.076,1.08,8.1
CDLSHORTLINE,bull,rsi_mid_oversold,2.25,99,54,45,54.5,50.5,0.8,N,0.52,0.067,1.04,6.1
CDLSHORTLINE,bull,rsi_mid_oversold,2.5,99,54,45,54.5,48.2,1.26,N,-0.07,0.052,1.0,6.1
CDLSHORTLINE,bull,rsi_mid_oversold,2.75,99,54,45,54.5,51.3,0.65,N,-0.65,0.037,0.95,6.1
CDLSHORTLINE,bull,rsi_mid_oversold,3.0,99,54,45,54.5,46.6,1.58,N,0.94,0.051,1.08,4.0
CDLSPINNINGTOP,bull,atr_high,0.5,127,46,81,36.2,35.6,0.15,N,0.29,0.045,1.03,58.3
CDLSPINNINGTOP,bull,atr_high,0.75,127,55,72,43.3,40.2,0.71,N,0.58,0.047,1.05,47.2
CDLSPINNINGTOP,bull,atr_high,1.0,127,64,63,50.4,46.0,0.99,N,1.97,0.094,1.16,33.1
CDLSPINNINGTOP,bull,atr_high,1.25,127,65,62,51.2,48.2,0.67,N,1.98,0.093,1.15,23.6
CDLSPINNINGTOP,bull,atr_high,1.5,127,66,61,52.0,47.0,1.11,N,2.61,0.109,1.2,16.5
CDLSPINNINGTOP,bull,atr_high,1.75,127,67,60,52.8,50.2,0.58,N,1.69,0.084,1.12,15.0
CDLSPINNINGTOP,bull,atr_high,2.0,127,69,58,54.3,51.5,0.64,N,2.3,0.126,1.17,9.4
CDLSPINNINGTOP,bull,atr_high,2.25,127,70,57,55.1,51.4,0.84,N,2.24,0.138,1.17,6.3
CDLSPINNINGTOP,bull,atr_high,2.5,127,70,57,55.1,49.9,1.18,N,3.06,0.136,1.24,5.5
CDLSPINNINGTOP,bull,atr_high,2.75,127,70,57,55.1,48.2,1.57,N,2.71,0.126,1.21,4.7
CDLSPINNINGTOP,bull,atr_high,3.0,127,70,57,55.1,50.7,1.01,N,2.92,0.14,1.23,3.1
CDLBELTHOLD,bull,rsi_overbought,0.5,21,9,12,42.9,29.8,1.31,N,11.55,0.543,2.42,57.1
CDLBELTHOLD,bull,rsi_overbought,0.75,21,9,12,42.9,32.9,0.97,N,9.18,0.457,1.87,42.9
CDLBELTHOLD,bull,rsi_overbought,1.0,21,11,10,52.4,42.9,0.88,N,10.82,0.572,2.03,23.8
CDLBELTHOLD,bull,rsi_overbought,1.25,21,11,10,52.4,46.4,0.55,N,9.78,0.545,1.85,14.3
CDLBELTHOLD,bull,rsi_overbought,1.5,21,12,9,57.1,40.5,1.56,N,13.7,0.625,2.56,4.8
