形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHIGHWAVE,bull,trend_down,0.5,190,30.0,-0.37,N,1.18,0.049,65.3,N
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,0.5,28,28.6,-0.44,N,0.56,-0.159,60.7,N
CDLHAMMER,bull,trend_up,3.0,24,41.7,-0.48,N,0.59,-0.122,4.2,N
CDLHARAMI,bear,rsi_mid_overbought,0.75,32,37.5,-0.51,N,0.89,-0.045,46.9,N
CDLENGULFING,bull,rsi_mid_oversold,2.5,63,44.4,-0.53,N,0.91,-0.124,6.3,N
CDLXSIDEGAP3METHODS,bear,none,0.5,30,26.7,-0.56,N,0.94,-0.079,63.3,N
CDLBELTHOLD,bear,rsi_mid_overbought,1.25,59,42.4,-0.59,N,0.71,-0.13,25.4,N
CDLDRAGONFLYDOJI,bull,none,0.5,49,28.6,-0.73,N,0.74,-0.073,69.4,N
CDLHARAMICROSS,bear,none,0.5,36,25.0,-0.78,N,1.34,-0.034,58.3,N
CDLDOJI,bull,trend_up,1.0,168,42.9,-0.92,N,0.8,-0.108,29.8,N
CDLLONGLINE,bull,atr_low,2.0,333,45.9,-0.97,N,0.86,-0.055,6.6,N
CDLHAMMER,bull,atr_high,1.5,22,36.4,-1.0,N,0.48,-0.207,13.6,N
CDLLONGLEGGEDDOJI,bull,trend_up,3.0,168,44.6,-1.07,N,0.89,-0.081,2.4,N
CDLTAKURI,bull,atr_low,0.5,27,18.5,-1.33,N,0.6,-0.135,81.5,N
CDLDRAGONFLYDOJI,bull,atr_low,0.5,28,17.9,-1.53,N,0.59,-0.136,78.6,N
CDLTAKURI,bull,trend_up,1.0,22,22.7,-2.0,N,0.11,-0.537,45.5,N
CDLDRAGONFLYDOJI,bull,trend_up,2.5,23,21.7,-2.24,N,0.12,-0.502,4.3,N
