形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.5,145,54.5,1.62,N,1.32,0.017,6.9,N
CDLHIGHWAVE,bull,none,1.0,297,50.2,1.59,N,1.32,nan,29.6,N
CDLSHORTLINE,bull,rsi_mid_oversold,3.0,99,54.5,1.58,N,1.08,0.051,4.0,N
CDLSPINNINGTOP,bull,atr_high,2.75,127,55.1,1.57,N,1.21,0.126,4.7,N
CDLBELTHOLD,bull,rsi_overbought,1.5,21,57.1,1.56,N,2.56,0.625,4.8,N
CDL3OUTSIDE,bear,trend_down,1.0,70,50.0,1.54,N,1.09,0.114,28.6,N
CDLDOJI,bull,atr_high,3.0,87,55.2,1.54,N,1.27,0.069,2.3,N
CDLSPINNINGTOP,bull,rsi_mid_oversold,2.5,99,55.6,1.54,N,1.19,0.057,7.1,N
CDL3OUTSIDE,bull,atr_low,1.25,96,53.1,1.52,N,1.11,0.095,17.7,N
CDLGRAVESTONEDOJI,bear,trend_up,0.75,26,57.7,1.52,N,1.14,0.118,23.1,N
CDLSPINNINGTOP,bear,atr_low,1.5,364,51.9,1.47,N,1.28,0.073,16.5,N
CDL3OUTSIDE,bear,atr_high,0.5,32,40.6,1.46,N,1.44,0.172,59.4,N
CDLMARUBOZU,bear,trend_down,1.25,48,52.1,1.46,N,0.64,-0.104,27.1,N
CDLENGULFING,bear,rsi_mid_overbought,2.5,46,56.5,1.45,N,0.93,0.047,0.0,N
CDLHIGHWAVE,bull,trend_up,2.5,149,54.4,1.42,N,1.22,0.052,5.4,N
CDLGRAVESTONEDOJI,bear,none,2.5,57,56.1,1.39,N,1.03,0.067,1.8,N
CDLHIGHWAVE,bull,atr_high,3.0,75,56.0,1.39,N,1.49,0.102,2.7,N
CDLRICKSHAWMAN,bull,rsi_mid_oversold,1.5,109,54.1,1.37,N,1.17,-0.034,13.8,N
CDLBELTHOLD,bear,rsi_oversold,1.75,28,57.1,1.36,N,0.46,-0.221,25.0,N
CDLSHORTLINE,bear,atr_high,2.75,113,55.8,1.33,N,0.87,0.057,5.3,N
CDLMARUBOZU,bull,trend_up,0.5,50,48.0,1.3,N,1.87,0.218,48.0,N
CDLSHOOTINGSTAR,bear,atr_low,0.5,22,45.5,1.29,N,1.36,0.199,50.0,N
CDLLONGLINE,bull,atr_low,0.75,281,44.8,1.26,N,1.03,0.023,42.7,N
CDLHARAMICROSS,bull,none,0.5,35,37.1,1.16,N,1.26,0.046,54.3,N
CDLHARAMI,bull,none,0.75,126,44.4,1.15,N,0.9,0.05,42.1,N
CDLLONGLEGGEDDOJI,bull,rsi_oversold,2.0,20,55.0,1.09,N,2.02,-0.029,10.0,N
CDLRICKSHAWMAN,bull,none,1.75,256,51.2,1.07,N,1.21,-0.013,12.5,N
CDLHIGHWAVE,bull,trend_down,1.25,146,50.7,1.02,N,1.43,0.09,22.6,N
CDLRICKSHAWMAN,bull,rsi_overbought,1.0,20,55.0,1.01,N,1.16,0.06,35.0,N
CDLSHOOTINGSTAR,bear,none,3.0,29,55.2,0.99,N,0.83,0.045,0.0,N
CDLDOJI,bull,rsi_oversold,1.5,20,45.0,0.98,N,1.29,-0.288,35.0,N
CDLHIGHWAVE,bull,atr_low,2.0,211,52.1,0.95,N,1.36,0.082,6.2,N
CDLSHORTLINE,bull,trend_down,1.0,218,50.0,0.93,N,1.13,0.089,30.3,N
CDLMARUBOZU,bull,atr_high,0.5,30,40.0,0.91,N,1.13,0.118,53.3,N
CDLHIKKAKE,bear,rsi_mid_overbought,0.5,77,40.3,0.81,N,1.07,0.033,54.5,N
CDL3OUTSIDE,bear,trend_up,1.25,59,52.5,0.78,N,1.16,0.054,20.3,N
CDLLONGLINE,bull,trend_down,0.75,203,43.8,0.77,N,1.11,0.039,43.8,N
CDLADVANCEBLOCK,bear,none,0.5,22,45.5,0.66,N,1.38,0.161,50.0,N
CDLGRAVESTONEDOJI,bear,trend_down,3.0,31,51.6,0.66,N,0.81,-0.015,3.2,N
CDLBELTHOLD,bear,trend_down,1.5,196,48.5,0.63,N,0.85,-0.086,19.9,N
CDLSPINNINGTOP,bull,trend_down,1.25,257,49.0,0.62,N,1.22,0.093,22.6,N
CDLDOJI,bull,none,2.5,344,50.3,0.54,N,1.11,-0.014,5.8,N
CDLLONGLEGGEDDOJI,bull,rsi_overbought,1.0,29,44.8,0.54,N,0.69,-0.091,44.8,N
CDLENGULFING,bear,trend_down,2.75,162,50.0,0.52,N,1.02,0.012,3.7,N
CDLENGULFING,bear,atr_high,1.75,78,50.0,0.51,N,1.05,0.076,14.1,N
CDLDOJI,bull,rsi_overbought,2.75,29,51.7,0.5,N,0.93,0.068,0.0,N
CDLHIKKAKE,bull,atr_low,2.0,230,49.1,0.48,N,0.94,-0.013,9.1,N
CDLBELTHOLD,bear,rsi_mid_overbought,3.0,47,51.1,0.46,N,0.56,-0.231,4.3,N
CDLRICKSHAWMAN,bull,atr_low,2.0,185,49.2,0.45,N,1.11,-0.036,9.2,N
CDL3OUTSIDE,bull,rsi_mid_oversold,1.0,20,50.0,0.41,N,1.27,0.05,40.0,N
CDL3INSIDE,bull,none,2.25,21,52.4,0.4,N,1.14,0.204,23.8,N
CDLTAKURI,bull,atr_low,3.0,27,48.1,0.39,N,0.82,-0.098,0.0,N
CDLBELTHOLD,bull,atr_low,2.5,231,50.2,0.37,N,0.81,-0.106,6.9,N
CDLHIKKAKE,bull,rsi_mid_oversold,2.75,81,50.6,0.35,N,1.2,0.003,8.6,N
CDLXSIDEGAP3METHODS,bear,trend_down,1.0,24,50.0,0.34,N,1.66,0.116,20.8,N
CDLLONGLEGGEDDOJI,bull,none,1.0,343,45.5,0.33,N,1.05,-0.041,35.0,N
CDLLONGLINE,bear,rsi_mid_overbought,1.5,56,48.2,0.31,N,1.07,-0.036,16.1,N
CDLTAKURI,bull,none,2.75,38,47.4,0.3,N,0.53,-0.202,2.6,N
CDLENGULFING,bull,rsi_mid_oversold,1.0,57,47.4,0.29,N,0.98,-0.093,38.6,N
CDLHIGHWAVE,bull,rsi_overbought,1.0,27,48.1,0.29,N,1.31,0.031,33.3,N
CDLDRAGONFLYDOJI,bull,atr_low,3.0,27,48.1,0.26,N,0.82,-0.098,0.0,N
CDLHIKKAKE,bear,trend_up,1.75,162,50.0,0.26,N,0.87,-0.03,9.9,N
CDLLONGLINE,bull,rsi_mid_oversold,0.5,73,35.6,0.23,N,0.82,-0.023,58.9,N
CDLBELTHOLD,bull,none,1.25,357,47.6,0.22,N,0.95,-0.03,25.8,N
CDLHIKKAKE,bull,rsi_oversold,0.5,21,19.0,0.19,N,0.18,-0.261,71.4,N
CDLHIKKAKE,bear,rsi_overbought,3.0,22,50.0,0.18,N,0.97,0.021,0.0,N
CDLSPINNINGTOP,bull,rsi_overbought,1.0,38,44.7,0.16,N,0.93,-0.098,42.1,N
CDLRICKSHAWMAN,bull,trend_up,1.5,129,46.5,0.15,N,1.12,0.003,15.5,N
