形态,方向,过滤器,原始信号,过滤后,交易数,胜,负,胜率%,随机胜率%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%,平均波动$
CDLHIKKAKE,bull,atr_high,338,101,101,46,55,45.5,50.6,-1.02,N,-5.0,-0.122,0.69,22.8,30.08
CDLXSIDEGAP3METHODS,bull,trend_up,40,16,16,6,10,37.5,50.6,-1.05,N,-3.9,-0.144,0.72,31.2,26.99
CDLMATCHINGLOW,bull,trend_up,35,16,16,5,11,31.2,44.4,-1.06,N,-4.63,-0.134,0.63,18.8,19.94
CDLHAMMER,bull,none,69,69,69,29,40,42.0,48.7,-1.11,N,-4.64,-0.168,0.63,15.9,21.1
CDLLONGLINE,bull,atr_high,412,121,121,53,68,43.8,49.1,-1.16,N,2.98,-0.012,1.21,15.7,32.7
CDLDRAGONFLYDOJI,bull,none,38,38,38,16,22,42.1,51.6,-1.17,N,-8.56,-0.28,0.39,21.1,19.32
CDLENGULFING,bear,atr_low,297,210,210,98,112,46.7,50.8,-1.2,N,-1.3,-0.079,0.88,19.0,21.76
CDLTAKURI,bull,atr_low,38,27,27,11,16,40.7,53.0,-1.27,N,-3.81,-0.228,0.55,14.8,11.56
CDLDOJI,bull,trend_up,346,178,178,80,98,44.9,49.8,-1.29,N,-1.5,-0.046,0.87,15.7,22.1
CDLXSIDEGAP3METHODS,bull,atr_low,40,29,29,11,18,37.9,50.3,-1.34,N,-1.02,-0.099,0.91,24.1,22.22
CDLHAMMER,bull,atr_low,69,53,53,21,32,39.6,49.1,-1.37,N,-3.5,-0.193,0.65,13.2,17.86
CDLHARAMI,bear,trend_down,126,72,72,30,42,41.7,49.7,-1.37,N,-7.39,-0.129,0.57,20.8,24.79
CDLHAMMER,bull,rsi_mid_oversold,69,32,32,12,20,37.5,50.0,-1.41,N,-9.26,-0.258,0.36,12.5,17.05
CDLLONGLEGGEDDOJI,bull,trend_up,345,177,177,79,98,44.6,50.2,-1.49,N,-1.55,-0.05,0.87,15.8,22.18
CDLENGULFING,bear,trend_up,297,132,132,58,74,43.9,50.5,-1.51,N,-2.76,-0.126,0.77,18.2,22.54
CDLTAKURI,bull,trend_up,38,25,25,8,17,32.0,48.8,-1.68,N,-12.57,-0.363,0.3,20.0,21.17
CDLHANGINGMAN,bear,atr_low,41,27,27,8,19,29.6,45.9,-1.7,N,-5.08,-0.227,0.54,18.5,20.54
CDLMATCHINGLOW,bull,atr_low,35,27,27,9,18,33.3,51.1,-1.85,N,-11.52,-0.38,0.26,29.6,22.16
CDLHARAMICROSS,bull,trend_down,35,16,16,5,11,31.2,54.4,-1.86,N,-4.18,-0.051,0.62,6.2,16.43
CDLHANGINGMAN,bear,trend_up,41,29,29,9,20,31.0,49.3,-1.97,N,-0.64,-0.104,0.95,10.3,26.56
CDLHANGINGMAN,bear,rsi_mid_overbought,41,20,20,6,14,30.0,52.0,-1.97,N,-2.07,-0.187,0.84,15.0,30.12
CDLBELTHOLD,bull,rsi_mid_oversold,358,69,69,27,42,39.1,51.2,-2.0,N,-4.36,-0.189,0.69,21.7,26.09
CDLDRAGONFLYDOJI,bull,trend_up,38,26,26,8,18,30.8,50.8,-2.04,N,-13.15,-0.396,0.28,23.1,24.25
CDLHIKKAKE,bull,rsi_oversold,338,21,21,5,16,23.8,46.7,-2.1,N,-21.68,-0.406,0.28,42.9,40.4
CDLHANGINGMAN,bear,none,41,41,41,13,28,31.7,52.2,-2.63,N,-2.05,-0.187,0.84,14.6,26.62
