形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLINVERTEDHAMMER,bull,none,2.5,64,51.6,0.98,N,1.73,0.203,3.1,N
CDLHIGHWAVE,bear,rsi_oversold,2.75,62,53.2,0.95,N,2.48,0.137,1.6,N
CDLHARAMI,bear,rsi_mid_overbought,0.75,248,44.8,0.91,N,1.24,0.034,39.5,N
CDLSPINNINGTOP,bear,atr_high,1.0,741,46.8,0.91,N,1.05,-0.012,27.5,N
CDLSEPARATINGLINES,bear,trend_down,2.5,34,55.9,0.89,N,1.45,0.071,5.9,N
CDLHARAMICROSS,bear,rsi_mid_overbought,1.0,71,46.5,0.88,N,1.71,0.001,31.0,N
CDLXSIDEGAP3METHODS,bear,trend_down,1.5,44,54.5,0.88,N,1.13,-0.008,20.5,N
CDLSHORTLINE,bear,rsi_mid_overbought,1.25,521,49.7,0.87,N,1.41,0.032,16.3,N
CDLBELTHOLD,bear,rsi_oversold,1.25,86,46.5,0.86,N,0.72,0.041,20.9,N
CDLDOJI,bull,trend_up,1.25,1124,48.0,0.86,N,0.83,-0.011,22.2,N
CDLHIKKAKE,bull,none,1.5,1625,49.2,0.86,N,0.93,nan,17.7,N
CDLENGULFING,bear,rsi_oversold,0.5,51,41.2,0.85,N,1.32,0.134,54.9,N
CDLSEPARATINGLINES,bull,atr_low,3.0,48,52.1,0.8,N,0.81,-0.088,4.2,N
CDLSHORTLINE,bull,atr_high,2.75,709,50.4,0.8,N,0.98,0.007,2.3,N
CDLHIKKAKE,bull,atr_low,1.25,1097,47.0,0.77,N,0.9,-0.002,25.5,N
CDLHIKKAKE,bull,trend_up,2.75,885,49.6,0.76,N,0.95,0.002,4.1,N
CDLHIKKAKEMOD,bull,atr_low,3.0,27,51.9,0.74,N,0.37,-0.116,3.7,N
CDLGRAVESTONEDOJI,bear,none,2.5,233,49.4,0.7,N,1.31,0.024,1.7,N
CDL3OUTSIDE,bear,rsi_mid_overbought,0.75,74,41.9,0.68,N,1.37,0.027,40.5,N
CDLENGULFING,bear,rsi_mid_overbought,0.5,345,33.3,0.68,N,0.83,-0.037,57.1,N
CDLSHOOTINGSTAR,bear,rsi_mid_overbought,2.75,44,52.3,0.68,N,1.19,-0.073,4.5,N
CDLLONGLEGGEDDOJI,bull,trend_up,1.5,1108,49.8,0.67,N,0.95,0.029,13.5,N
CDLLONGLINE,bear,rsi_overbought,1.25,188,45.7,0.63,N,1.06,-0.013,31.4,N
CDLMARUBOZU,bull,trend_down,0.75,164,41.5,0.63,N,0.87,-0.038,42.1,N
CDLENGULFING,bear,atr_high,2.0,504,49.2,0.62,N,0.85,-0.006,8.1,N
CDLMARUBOZU,bull,trend_up,2.5,248,49.6,0.58,N,1.1,0.047,4.4,N
CDLMARUBOZU,bull,none,1.25,412,47.8,0.49,N,0.94,0.004,19.9,N
CDLSHOOTINGSTAR,bear,atr_low,0.5,64,37.5,0.48,N,1.3,0.078,48.4,N
CDLGRAVESTONEDOJI,bear,trend_down,0.75,103,43.7,0.47,N,1.26,0.071,30.1,N
CDLHAMMER,bull,trend_up,2.75,169,50.3,0.47,N,1.04,0.096,2.4,N
CDLLONGLEGGEDDOJI,bull,rsi_oversold,3.0,72,50.0,0.47,N,1.09,-0.08,4.2,N
CDLRICKSHAWMAN,bull,rsi_oversold,2.75,54,51.9,0.45,N,1.19,-0.065,5.6,N
CDL3LINESTRIKE,bull,trend_down,0.75,31,38.7,0.44,N,0.91,-0.056,58.1,N
CDLADVANCEBLOCK,bear,trend_up,0.5,160,30.6,0.44,N,0.69,-0.082,60.0,N
CDLHAMMER,bull,rsi_overbought,1.0,24,50.0,0.44,N,2.47,0.062,16.7,N
CDLDOJI,bull,rsi_oversold,1.75,73,46.6,0.41,N,1.09,-0.132,13.7,N
CDLENGULFING,bull,trend_up,3.0,940,49.4,0.4,N,0.96,0.025,4.0,N
CDLHARAMICROSS,bear,trend_up,1.75,125,48.0,0.4,N,1.2,-0.111,11.2,N
CDLENGULFING,bear,rsi_overbought,1.5,125,47.2,0.3,N,1.23,-0.036,22.4,N
CDLHARAMI,bull,atr_low,2.5,533,49.3,0.3,N,1.21,0.041,5.1,N
CDLINVERTEDHAMMER,bull,atr_low,2.5,47,46.8,0.27,N,1.39,0.138,4.3,N
CDL3INSIDE,bull,trend_up,1.25,44,40.9,0.26,N,0.96,0.207,27.3,N
CDLHANGINGMAN,bear,atr_low,0.75,182,41.2,0.26,N,0.76,-0.083,34.1,N
CDLLONGLINE,bear,trend_down,1.0,787,45.0,0.25,N,0.99,0.0,31.6,N
CDLSHOOTINGSTAR,bear,trend_up,3.0,60,48.3,0.22,N,1.12,-0.022,1.7,N
CDLADVANCEBLOCK,bear,rsi_mid_overbought,0.5,96,35.4,0.2,N,0.75,-0.026,57.3,N
CDLBELTHOLD,bull,atr_high,2.75,528,49.1,0.2,N,0.9,-0.013,3.0,N
CDL3OUTSIDE,bear,trend_down,0.75,229,40.2,0.19,N,0.92,-0.012,43.2,N
CDLHIGHWAVE,bear,trend_down,3.0,682,49.3,0.19,N,1.21,0.053,2.6,N
CDLMORNINGSTAR,bull,atr_low,1.5,30,43.3,0.19,N,0.62,-0.186,33.3,N
CDLHIKKAKEMOD,bull,trend_up,0.5,24,37.5,0.18,N,0.91,0.014,50.0,N
CDLENGULFING,bull,atr_low,2.0,1153,48.9,0.14,N,1.0,0.007,10.7,N
CDLHARAMI,bull,rsi_mid_oversold,1.5,196,48.5,0.13,N,0.97,-0.036,21.4,N
CDLHARAMICROSS,bear,trend_down,3.0,107,48.6,0.11,N,1.47,0.082,5.6,N
CDLENGULFING,bear,none,1.75,1662,48.4,0.1,N,0.92,nan,14.3,N
CDLEVENINGSTAR,bear,trend_down,0.75,26,30.8,0.04,N,0.62,-0.25,50.0,N
CDLHARAMICROSS,bull,rsi_mid_oversold,1.25,60,46.7,0.04,N,1.17,-0.063,33.3,N
CDLHIKKAKE,bear,rsi_mid_overbought,0.5,420,32.9,-0.01,N,0.96,-0.023,58.6,N
CDLMARUBOZU,bull,atr_low,0.75,292,39.0,-0.01,N,0.88,-0.033,44.5,N
CDLHARAMI,bull,none,0.75,786,41.2,-0.08,N,0.98,nan,43.5,N
CDLMORNINGSTAR,bull,none,1.75,43,44.2,-0.08,N,0.59,-0.117,23.3,N
CDLDRAGONFLYDOJI,bull,trend_up,2.5,224,48.7,-0.1,N,1.12,0.032,2.2,N
CDLLONGLINE,bear,rsi_mid_overbought,0.5,269,32.0,-0.1,N,0.66,-0.053,60.2,N
CDLENGULFING,bull,trend_down,3.0,720,49.0,-0.11,N,0.86,-0.048,4.0,N
CDLSTALLEDPATTERN,bear,trend_up,0.75,36,30.6,-0.12,N,0.53,-0.186,41.7,N
CDLBELTHOLD,bear,trend_up,2.5,903,48.8,-0.14,N,1.01,0.027,5.6,N
CDLHARAMICROSS,bear,none,2.75,232,48.7,-0.14,N,1.3,-0.039,6.0,N
CDL3OUTSIDE,bear,atr_high,1.5,167,46.7,-0.15,N,1.68,0.056,12.0,N
CDL3LINESTRIKE,bull,none,0.75,54,33.3,-0.17,N,1.29,0.001,53.7,N
CDLSHOOTINGSTAR,bear,trend_down,0.5,32,34.4,-0.18,N,0.75,0.032,50.0,N
CDL3INSIDE,bear,atr_low,0.5,59,28.8,-0.21,N,1.43,0.331,67.8,N
CDL3INSIDE,bull,trend_down,0.5,52,26.9,-0.23,N,1.2,0.062,67.3,N
CDLADVANCEBLOCK,bear,atr_low,0.75,126,37.3,-0.24,N,0.74,-0.108,43.7,N
CDLBELTHOLD,bull,none,1.0,1664,43.7,-0.25,N,0.9,nan,33.4,N
CDL3LINESTRIKE,bear,atr_low,0.75,37,32.4,-0.26,N,1.17,-0.006,54.1,N
CDLADVANCEBLOCK,bear,none,0.5,169,29.6,-0.29,N,0.65,-0.097,60.9,N
CDLGAPSIDESIDEWHITE,bull,trend_up,0.75,21,38.1,-0.33,N,0.54,-0.111,42.9,N
CDLLONGLINE,bull,atr_low,1.25,1379,46.4,-0.33,N,1.01,0.011,24.1,N
CDLSTALLEDPATTERN,bear,atr_low,0.5,21,23.8,-0.33,N,0.44,-0.207,61.9,N
CDLBELTHOLD,bear,trend_down,1.0,759,43.5,-0.34,N,0.9,-0.041,32.3,N
CDLSTALLEDPATTERN,bear,none,0.5,36,25.0,-0.34,N,0.52,-0.159,66.7,N
CDLHARAMI,bull,atr_high,0.5,247,36.8,-0.35,N,0.85,0.001,55.9,N
CDLSHOOTINGSTAR,bear,none,0.5,92,33.7,-0.38,N,0.85,-0.007,51.1,N
CDLEVENINGSTAR,bear,rsi_mid_overbought,0.75,20,35.0,-0.42,N,0.28,-0.189,55.0,N
CDLTAKURI,bull,rsi_overbought,2.5,39,43.6,-0.45,N,0.69,-0.072,5.1,N
CDLHARAMI,bull,rsi_overbought,0.5,61,24.6,-0.46,N,0.32,-0.218,65.6,N
CDLHARAMI,bull,rsi_oversold,1.0,29,37.9,-0.47,N,0.7,-0.101,41.4,N
CDLXSIDEGAP3METHODS,bear,rsi_mid_overbought,2.5,23,39.1,-0.52,N,0.47,-0.208,4.3,N
CDLTAKURI,bull,trend_up,2.75,221,48.0,-0.53,N,1.14,0.024,1.8,N
CDLBELTHOLD,bull,atr_low,1.0,1126,43.2,-0.62,N,0.96,-0.013,34.7,N
CDLGRAVESTONEDOJI,bear,atr_high,0.75,64,35.9,-0.66,N,0.62,-0.128,35.9,N
CDLMATCHINGLOW,bull,atr_low,2.0,129,42.6,-0.68,N,0.55,-0.189,13.2,N
CDLEVENINGSTAR,bear,atr_low,0.75,36,25.0,-0.69,N,0.31,-0.324,61.1,N
