ticket,strategy,magic,direction,volume,entry_time,entry_price,exit_time,exit_price,pnl,commission,net_pnl,exit_reason,stop_loss,take_profit,entry_bid,entry_ask
90000015,,,,,,,2026-07-17 00:51:57,3995.63,8.23,1.0,7.23,,,,,
90000017,stoch_trend_h1_optimized_BUY,661202,BUY,0.01,2026-07-17 01:25:57,3984.01,,,,,,,3950.47,5636.15,3983.73,3984.13
90000018,mfi_bb_m30_optimized_SELL,661002,SELL,0.01,2026-07-17 01:33:53,3983.6,,,,,,,4182.77,39.84,3983.74,3984.14
90000018,,,,,,,2026-07-17 01:34:10,3984.15,-0.55,1.0,-1.55,,,,,
90000017,,,,,,,2026-07-17 02:31:03,3983.48,-0.53,1.0,-1.53,,,,,
90000019,stoch_trend_h1_optimized_SELL,661202,SELL,0.01,2026-07-17 08:15:09,3983.07,,,,,,,3999.37,3238.01,3984.31,3984.72
90000020,mfi_bb_m30_optimized_SELL,661002,SELL,0.01,2026-07-17 08:31:40,3981.73,,,,,,,4180.85,39.82,3982.01,3982.42
90000020,,,,,,,2026-07-17 08:31:58,3983.5,-1.77,1.0,-2.77,,,,,
90000019,,,,,,,2026-07-17 09:06:30,3994.97,-11.9,1.0,-12.9,,,,,
90000021,stoch_trend_h1_optimized_BUY,661202,BUY,0.01,2026-07-17 16:02:25,3997.02,,,,,,,3977.04,4974.65,3995.86,3996.26
90000022,rsi_grading_m30_optimized_BUY,660903,BUY,0.01,2026-07-17 16:03:32,3997.17,,,,,,,3985.67,4558.25,3996.63,3997.03
90000022,,,,,,,2026-07-17 17:28:55,3999.37,2.2,1.0,1.2,,,,,
90000023,rsi_grading_m30_optimized_BUY,660903,BUY,0.01,2026-07-17 17:30:56,3999.04,,,,,,,3980.52,4923.46,3999.2,3999.6
90000021,,,,,,,2026-07-17 17:38:54,3997.33,0.31,1.0,-0.69,,,,,
90000024,stoch_trend_h1_optimized_SELL,661202,SELL,0.01,2026-07-17 18:01:02,3996.84,,,,,,,4015.33,3109.43,3996.82,3997.22
90000024,,,,,,,2026-07-17 19:22:35,3995.25,1.59,1.0,0.59,,,,,
90000025,stoch_trend_h1_optimized_BUY,661202,BUY,0.01,2026-07-17 19:23:29,3994.28,,,,,,,3980.17,4673.69,3993.13,3993.53
90000025,,,,,,,2026-07-17 20:21:47,3986.59,-7.69,1.0,-8.69,,,,,
90000023,,,,,,,2026-07-17 20:39:56,3978.81,-20.23,1.0,-21.23,,,,,
90000014,,,,,,,2026-07-18 01:19:25,4012.96,9.75,1.0,8.75,,,,,
90000000,stoch_trend_h1_optimized_SELL,661202,SELL,0.01,2026-07-18 18:42:40,4016.15,,,,,,,4043.54,2646.72,4016.15,4017.16
90000001,sanqing_h1_BUY,880107,BUY,0.01,2026-07-18 18:43:50,4017.16,,,,,,,3967.67,6491.57,4016.15,4017.16
90000000,stoch_trend_h1_optimized_SELL,661202,SELL,0.01,2026-07-18 22:00:41,4016.15,,,,,,,4043.54,2646.72,4016.15,4017.16
90000001,sanqing_h1_BUY,880107,BUY,0.01,2026-07-18 22:01:51,4017.16,,,,,,,3967.67,6491.57,4016.15,4017.16
90000000,stoch_trend_h1_upgraded_BUY,661203,BUY,0.01,2026-07-20 13:01:00,4021.07,,,,,,,4009.93,4044.2,4020.73,4021.14
90000001,sanqing_h1_upgraded_SELL,880108,SELL,0.01,2026-07-20 13:14:50,4013.87,,,,,,,4029.8,3982.04,4013.84,4014.25
90000000,,,,,,,2026-07-20 13:36:02,4007.93,-13.14,1.0,-14.14,,,,,
90000001,,,,,,,2026-07-20 13:36:50,4010.02,3.85,1.0,2.85,,,,,
